Artist,Album,Location
Teela-Wook,Teela-Wook,
Teen Idols,Teen Idols,
Teen Idols,Pucker Up!,
Teenage Fanclub,Bandwagonesque,
Teenage Fanclub,Grand Prix,
Teenage Fanclub,Four Thousand Seven Hundred and Sixty-Six Seconds,
Teenage Fanclub,Howdy!,
Teenage Fanclub,Songs From Northern Britain,
Teenage Kicks,Be on my Side,
Teenage Kicks,Teenage Kicks,
"Teenage Prayers, The",Everyone Thinks You're the Best,
"Teenage Prayers, The",Two Songs,
"Teeth, The",You're My Lover Now (Park the Van),
Teflon,My Will,
Tegan and Sara,If It Was You,
Tegan and Sara,Sainthood,
Tegan and Sara,Heartthrob,
Teitur,The Singer,
Teitur,The Singer (Cheap Lullaby),
Tek 9,It's Not What You Think It Is!?!!,
Teknicolour,Take 5,
Telamor,Outside the Lines,
Telekinesis,Telekinesis!,
Telekinesis,12 Desperate Straight Lines,
Telenovela Star,Love Lust Sci-Fi & Monsters,
"Telepathic Butterflies, The",Introducing the Telepathic Butterflies,
Telepathique,Last Time on Earth,
Telephone,E.P.,
Telephone Jim Jesus,A Point Too Far to Astronaut...,
Telescope Bowmen,Acquire the Earth,
Telestrion,Telestrion,
Television,Television,
"Television Personalities, The",My Dark Places,
Temper Temper,self-titled,
Temperance,Temperance,
Temple of Echoes,[Union]2,
Tempo No Tempo,Repetition,
Temporal Lektricity,Cruisin' Big Sur,
Temporal Lektricity,Smooth Sailin',
Ten Foot Polecats,self-titled,
Ten Hands,Be My Guru,
Ten Inch Men,Pretty Vultures,
Ten Kens,self-titled,
Ten Star General,Hog Fort,
Tenacious D,The Pick Of Destiny,
Tenderloin,Let it leak,
Tenderloin,Bullseye,
Tenderloin,Tenderloin,
Tennie Komar,Temptation,
Tennis,Cape Dory,
Tennis,Young and Old,
Tennis,Ritual in Repeat,
Tension,War Cry,
Teo Leo + Pharmacists,Shake the Sheets,
Terence Blanchard,Romantic Defiance,
Terence Martin,Waterproof,
Terence Trent D' Arby,TTD's Vibrator,
Teresa Storch,Stream of Concrete,
Teriyakis,Haunted Hungarian Sauna,
Teriyakis,Pre-Literate: Post-Nessecary ,
Terminal Confusion,Scenes From Acts of Violence,
Terminal Sect,thehumansconditioned,
Terminator,Juvenile Delinquintz,
Terra Firma,Terra Firma,
Terra Naomi,self-titled,
Terra Nova,Terra,
Terra Sul,Kindness of Strangers,
Terramara,Four Blocks To Hennepin,
Terre Thaemlitz,Tranquilizer,
Terrell,Beautiful Side of Madness,
Terrell,Angry Southern Gentleman,
Terri Binion,Leavin' This Town,
Terror Fabulous,Number Two,
Terror Fabulous,Yaga Yaga,
Terrorvision,Prime Time,
Terry Eason,Sentimental Vanity,
Terry Frances Presents Architecture,,
Terry Kitchen,blues for cain and abel,
Terry Kitchen,Blanket,
Terry Lee Brown Jr,Chocolate Chords,
Terry Young,King Stonlogic ,
Tesla,Heavens Trail (No Way Out),
Tesla ,Psychotic Supper,
Test Your Reflez,The Burning Hour,
Tex Svengali,Adonai Elohim El Camino,
Texas,Live From Ricks Road,
Texas,Ricks Road,
Texas,The Hush,
Texas,Mothers Heaven,
Texas,White On Blonde,
Texas Terri Bomb!,Your Lips...My Ass!,
Texas Tornados,Hangin' on By a Thread,
Texas Tornados,4 Aces,
Texas Tornados,Texas Tornados,
Texas Tornados,In Anybody Goin' to San Antone ,
Texas Tornados,Zone of Our Own,
Thaddeus,What It Was Like,
Thalia Zedek,You're a Big Girl Now,
Thanatos,an embassy to Gaius,
Thanatos,Realm Of Ecstacy ,
Thanatos,Blisters,
Thanks To Gravity,Slingshot,
Thao & Mirah,Thao & Mirah,
Thao with the Get Down Stay Down,We Brave Bee Stings and All,
Thao with The Get Down Stay Down ,Know Better Learn Faster,
That 1 Guy,Songs in the Key of Beotch,
That Dog,That Dog,
That Dog,retreat from the sun,
That Dog,he's kissing christain,
That Dog,Old Timer,
That Handsome Devil,That Handsome Devil,
That Noise,Derivatives,
That Noise ,Derivatives ,
That Petrol Emotion,Fireproof,
thaTruth! ,Makin' Moves,Station
Thats What You Get,Thats What You Get,
Thavius Beck,Decomposition,
Thawfor,the law of one,
The  Tint,The Tint,
the tender idols,Distressor,
The Terrifying Experience,Supreme Radial,
The The,The The vs the World,
The Theory of Evolution,The Theory of Evolution,
The Thermals,The Thermals,
The Thermals,Fuckin A,
The Thing that Floyd Ate,,
The Toasters,hard band for dead,
The Tossers,Agony,
The Track Record,self-titled,
The Tragically Hip,Trouble at the Henhouse,
The Tragically Hip,Road Apples,
The World is My Fuse,Good Intentions,
"The, The",Solitude,
"The, The",Dogs of Lust,
"The, The ",Hanky Panky,
Theater of Tragedy,>machine,
Thee Michelle Gun Elephant,Rumble,
Thee More Shallows,Book of Bad Breaks,
Thee Oh Sees,Putrifiers II ,
Thee Oh Sees,The Master's Bedroomis Worth Spending a Night In,
Thee Phantom,Storming the Bastille,
Thee Shams,Please Yourself,
THEESatisfaction  I awe NaturalE,THEESatisfaction I awe NaturalE,
Thelonious Monster,Beautiful Mess,
Thelonious Monster,Blood Is Thicker Than Water,
Them There,The Gift of Reason,
Theophilus London,Timez Are Weird These Days,
Theophilus London,Humdrum Town,
Therapy?,Troublegum,
Therapy?,Perversonality,
Therapy?,Therapy?,
Therapy?,Hats Off to the Insane,
Therapy?,Self Titled,
Therapy?,Nurse,
There,There II,
There,Motorchild,
There,There,
There is Danger,Living Dreams,
There Were Wires,,
Theresa Andersson,"Hummingbird, Go!",
Theresa Miele,I am Not Your Puzzle to Solve,
"Thermals, The",Now We Can See,
"Thermals, The",Personal Life,
"Thermals, The",The Body The Blood The Machine,
"Thermals, The",More Parts Per Million,
These Animal Men,"(come on, join) the high society",
These Arms are Snakes,This is Meant to Hurt You,
These Arms Are Snakes,Oxwneers or The Lion Sleeps When Its Antelope Go Home,
These Modern Socks,Picking a Lock at the Speed of Light,
These Modern Socks,self-titled,
These New Puritans,Hidden,
These United States,A Picture of the Three of Us at the Gate to the Garden of Eden,
These United States,Crimes,
These United States,Everything Touches Everything,
They Might Be Giants,Factory Showroom,
They Might Be Giants,"Hey, Mr. DY, I Thought you Said we Had a Deal",
They Might Be Giants,2001 Radio Sampler #1,
They Might Be Giants,Man It's So Loud in Here,
They Might Be Giants,Mink Car,
They Might Be Giants,Severe Tire Damage,
They Might Be Giants,Back To Skull,
They Might Be Giants,Snail Shell,
They Might Be Giants,AKA Driver,
They Think They Are,The Robocop Kraus,
They Walk Among Us,"Mathematics, Art in Progress",
Thicker Than Water,H2O,
Thickliquid,Get Out,
Thief,We Are,
Thievery Corporation,The Richest Man in Babylon,
ThieveryCorporation,TheCosmicGame,
"Thieves, The",Tales From the White Line,
Thin Lizard Dawn,Go,
Thin Lizard Dawn,Thin Lizard Dawn,
Thin White Rope,Sack Full of Silver,
Think of One,Camping Shaabi,
Thinking Man,I'm Alive,
Thinmen,Nothing Like Our Picture,
Third Eye Blind,Anything,
Third Harmonic Distortion,Third Harmonic Distortion,
Third International,Entre las Americas,
"Third Life, The",Sugar & Water,
"Third Life, The",Where the fun starts...,
"Third Life, The",Self Titled,
Third of Never,Downrising,
Third of Never,Moodring,
"Third Sex,  The",,
Third Stone,The Stuff,
Third World,,
Third World,Generation Coming,
Thirst,through the wire,
Thirty Day Notice,Thirty Day Notice,
This Are Moon Ska!,A Ska Sampler From Moon Ska!,
This Busy Monster,Fireworks,
This is Exploding,Until the Next Red Light,
This is Exploding,Going For Adds,
This is It,Come a Time Colorblind,
This Is it,Bite It!,
This is Ivy League,This is Ivy League,
This Moment In Black History,It Takes a Nation,
This Mortal Coil,It'll End In Tears,
This Mortal Coil,Self Titled,
This Must Be Love,Small Change,
This Perfect Day,C-60,
This Perfect Day,Could Have Been Friends,
This Picture,City of Sin,
This Picture,Naked Rain,
This Picture,Acoustic Versions,
This Picture,Breathe Deeply Now,
This picture,Step Up,
this song is a mess,"Church Point, LA",
Thistle ,Tired Anchor,
Thisway,She Takes,
Thisway,Thisway,
thisyearsmodel,a very special demo,
Thomas,Nothing Is Real,
Thomas Dolby,I Love You Goodbye,
Thomas Dolby,Eastern Bloc,
Thomas Dolby,Astronauts and Heretics,
Thomas Dolby,The Sole Inhabitant,
Thomas Dolby,The Gate to the Mind's Eye,
Thomas Function,In the Valler of Sickness,
Thomas Jefferson Slave Apartments,Bait and Switch,
Thomas Kivi,Crying Child,
Thomas Lunch,Diagrams Without Instructions,
Thomas Lunch,Diagrams Without Instructions,
Thomas Mapfumo,The Best of Thomas Mapfumo,
Thompson Twins,Come Inside the Saint,
Thompson Twins,Groove On,
Thompson Twins,Queer,
Thompson Twins,Play With Me (Jane),
"Thorns, The",The Thorns,
Those Damn Twins,It's Not A Hobby - It's A Command [EP],
Those Darlins,Screws Get Loose,
Thou,Put Us in Tune,
Thought Brigade,Painfully Close,
thOught industry,"assassins, tOads and gOd's flesh",
Thought Junkie,Thought Junkie,
Thought Transfer,Light My Way,
Thoughts Bad,Thoughts Bad,
Thousand,Yard Stare,
Thousand Days,Somebody Like You,
"Thousand Shades of Cold, A",A Thousand Shades of Cold,
Thousand Yard Stare,Buttermouth,
Thousand Yard Stare,O-O a.e.t. (No Score After Extra Time),
Threat,,
Three Against Four,Some of Us Are Here,
Three Day Threshold,Behind the Barn,
Three Finger Cowboy,Kissed,
Three Finger Cowboy,Hooray for Love,
Three Fish,Laced,
Three Fish,Three Fish,
Three Fish,The Quiet Table,
Three Merry Widows,Which Dreamed It?,
Three More Shallows,Book of Bad Breaks,
Three Penny Opera,Three Penny Opera,
Three Thirteen,Rough Grooves Surface,
Three Tymes Luv,I Wanna Groove,
Threshner,Apparatus! e.p.,
Threshner,Electromantic,
Thrice,The Alchemy Index Volumes 1 & 2,
Thrice,Vheissu,
Thrice,The Illusion for Safety,
Thrice,,
Thrice,The Alchemy Index: Air and Earth,
Thrillcat,(oneword),
Thrillcat,Green Thumb,
Thrillcat,All Come True,
"Thrills, The",Let's Bottle Bohemia,
"Thrills, The",So Much for the City,
Throat Culture,Book of Life,
Throat Sprockets,Throat Sprockets,
Throat Sprockets,White Elephant,
Throat Sprockets,Methadone Picnic,
Throat Sprockets,Lankershim Square,
"Throbs, The",Come Down Sister (LP Version),
"Throbs, The",Sweet Addiction (LP Version),
"Throes, The",12 before 9,
Throneberry,Guerrilla Skies,
Throneberry,Sangria,
Throneberry,Trot Out the Encores,
Throneberry,Squinting before the dazzle,
Through the Sparks,Lazarus Beach,
Throw Me The Statue,Moonbeams,
Throwing Muses,Limbo,
Throwing Muses,Not Too Soon,
Throwing Muses,Dizzy,
Throwing Muses,Throwing Muses,
Throwing Muses,Counting Backwards,
Throwing Muses,The Real Ramona,
Throwing Muses,Ruthies Knocking ,
Throwing Muses,University,
Thrush Hermit,Sweet Homewrecker,
Thrush Hermit,Rock and Roll Detective,
Thrust,Parade of Idiots,
Thug City,Proposition,
Thumb,Exposure,
Thumb Attack,Burn It Down,
Thumper,Rabbit Wreaking Havoc,
Thumper,No One Left the Disco Alive,
Thumper,Another Day,
Thumper,Hellfire and Damnation,
Thumpers ,Galore,
Thunder in the Valley,Where Oh Where Oh Where,
Thunder in the Valley,"A Long, Long Walk",
Thunderball,Scorpio Rising,
"Thunderbirds are Now!
",Make History,
Thundering Lizards,Eyeball Sandwich,
Thursday,A City by the Light Divided,
Thursday,War All the Time,
Thursday's Child,Lost & Found,
Thurston Moore,Trees Outside the Academy,
Tiamat,We Started Nothing,
Tiara,"The Summer of the Lion, the Summer of the Lamb",
Tiara,"The Summer of the Lion, The Summer of the Lamb",
Ticklah,Ticklah Vs Axelrod,
Tickley Feather,Tickley Feather,
Ticks,sun shinin on your rain,
Tiddas,Sing About Life,
Tiddas,Sing About Life,
Tides,Keep It A Secret,
Tidewater Grain,Here on th Outside,
Tie These Hands,Come On,
Tiesto ,Just Be,
Tiffany Anders,Runnin From No Place to Nowhere,
Tiffany Gassett,Rising Tide,
Tiga,Ciao!,
Tiga,DJ Kicks,
Tiger,Claws of the Cat,
Tiger ,Shining in the Wood,
Tiger Army,Music From Regions Beyond,
Tiger Army,III: Ghost Tigers Rise,
Tiger Baby,Lost in You,
Tiger Bear Wolf,Tiger Bear Wolf,
Tiger Saw,How To Be Timeless Tonight,
Tiger Saw,Blessed are the Trials We Will Find,
Tigers and Monkeys,Loose Mouth,
Tigger Clarkson,Forget You,
"Tight Bro's From Way Back When, The",Runnin' Thru My Bones,
Tiki Obmar,High School Confidential ,
Til We Outnumber 'Em,The Songs of Woody Guthrie,
Tilly and the Wall,Wild Like Children,
Tilt,Collect 'Em All,
Tilt,Viewers Like You,
Tim Blane,Clockwork,
Tim Burgess,I Believe ,
Tim Dog,Do or Die,
Tim Easton,help me find my space girl,
Tim Easton,Special 20,
Tim Easton,The Truth About Us,
Tim Easton,The Truth About Us,
Tim Eriksen,Soul of the January Hills,
Tim Fite,Over the Counter Culture,
Tim Fite,Gone Ain't Gone,
Tim Harrison,Sara and The Sea,
Tim Hecker,An Imaginary Country,
Tim Reynolds,From Space and Beyond,
Tim Timmermans,Life As We Know It,
Tim Timmermans,Beyond Life with Timothy Leary,
Tim Williams,Tales of Digression,
Tim Williams,When Work is Done,
Timbaland,Tim's Bio,
Timbaland and Magoo,Can U Get Wit It,
"Timbre Project, The",Ruining Perfectly Good Songs,
Timbuk 3,Just Wanna Funk With Your Mind,
Timbuk 3,Looks Like Dark To Me,
Timbuk3,Easy,
Timbuk3,A Hundred Lovers,
Timco,Gentleman Jim,
Timco,Friction Tape,
Time Mirage,Knife Knights,
Time Spent Driving,Just Enough Bright,
Times Two,Cecelia,
Timmy and the Lords of the Underworld,South Park,
Timmy Curan,Word of Mouth,
Timo Maas,Loud,
Timo Mass,Music for the Maases,
Timo Mass,Connected,
Timothy Cushing,Telephone Lines,
Timothy Leary,,
Tin Ear,Ballad of a Tin Band,
Tin Hat Trio,The Rodeo Eroded,
Tin Heart Trio,,
Tin Machine,Tin Machine,
Tin Machine,Prisoner of Love,
Tin Machine,heaven's in here,
Tin Machine,"oy vey, baby",
Tin Star,College EP,
Tina,R U Bout It?,
Tina and the B-Side Movement,Salvation,
Tina Dico,In the Red,
Tina Digeorge,Deconstruction of a Light Traveler,
Tina Turner,I Don't Wanna Fight,
Tina Turner,Why Must We Wait Until Tonight?,
tindersticks,"""curtains""",
Tindersticks,Tindersticks,
Tinfed,Tried + True,
Ting Tings,We Started Nothing,
Tingley,Up Down Done,
"Tinklers, The",Crash,
"Tins, The",The Tins,
Tinstar,Dirtybird,
"Tint, the",The 11th Hour,
Tinted Windows,Tinted Windows,
Tiny Masters of Today,Bang Bang Boom Cake,
Tiny Masters of Today,Skeletons,
Tiny Vipers,Life on Earth,
Tired Angels,Look at Me,
Tired Eyes,Scenes from Behind the Mask,
Tiring Sky,Tiring Sky,
Tiring Sky,Hyena Brother,
Tish Hinojosa,Destiny's Gate,
Titan,Elevator,
Titanic Love Affair,Planet Strange,
Titanic Love Affair,Titanic Love Affair,
Title Tracks,It Was Easy,
Tito Nieves,Un Amor Asi,
TJ Kirk ,If Four Was One,
TJ Kirk ,TJ Kirk,
TJ Rehmi,Invisible Rain,
TK Webb,Phantom Parade,
TK Webb & the Visions,Ancestor,
TKD6K,Boom! Boom! Boom!,
TMA-2,Tick Tock Lilies,
To My Surprise,To My Surprise,
Toad the Wet Sprocket,Good Intentions,
Toad the Wet Sprocket,Coil,
Toad the Wet Sprocket,Dulcinea,
Toad the Wet Sprocket,Is It For Me,
Toad the Wet Sprocket,Come Back Down,
Toadies,Hell Below/Stars Above,
Toadies,Rubberneck,
Toadies,No Deliverance,
Toast,the lucky charms,
"Toasters, The",Thrill Me Up,
"Toasters, The",New York Fever,
"Toasters, The",Don't Let The Bastards Grind You Down,
"Toasters, The",This Gun For Hire,
Tobacco,Maniac Meat,
Tobacco,Fucked Up Friends,
Tober,harajuku no emo ko,
Tobin Sprout,Lost Planets & Phantom Voices,
Tobin Sprout,Let's Welcome the Circus People,
Tobin Sprout,Moonflower Plastic,
Tobin Sprout,Carnival Boy,
Toboggan,Metroragewarehouse,
Toby Lightman,Little Things,
Tocar,Nothing Personal,
Tochigi,Tochigi Records 01,
Todd Bowie,Luckyspacepeople,
Todd Clouser,A Love Electric,
Todd Deatherage,Todd Deatherage,
Todd Rundgren/TR-i,Fascist Christ,
Todd Rundgren/TR-i,Individualist,
Todd Snider,Viva Satellite,
Todd Terry,Let it Ride,
Todo Bien,Will To Be...,
Toenut,Two In The Pinata,
Toetag,Righteous,
Toetag,Reality,
Together As One,Together As One,
Tokyo Police Club,Elaphant Shell,
Tokyo Rose,reinventing a lost art,
Tokyo Rose,New American Saint,
Tokyo Tramps,Lucky Jive will Come Home on King's Road,
TokyoMarineFire,TokyoMarineFire,
Tolerance,Tolerance,
"Toll, The",One Last Wish,
Tom Appleman,Big Flirt,
Tom Beaulieu,Traveler From Another Sone,
Tom Beaulieu,Dead Memories of a Ship,
Tom Beaulieu,Jester's Festival,
Tom Beaulieu,The Joker Paintings,
Tom Brosseau,Brand Forks,
Tom Cochrane,Songs of a Circling Spirit,
Tom Dean,Your Own Backyard,
Tom Feldman,Driven to My Knees,
Tom Flannery,Song About a Train,
Tom Freund,North America Long Weekend,
Tom Gabel,Heart Burns,
Tom Hansen,UFO Oil,
Tom Hedrick,As If!,
Tom Jones and the Cardigans,Burning Down The House,
Tom Kell,One Sad Night,
Tom Leach With Band,Recorded Live In Person,
Tom LoMacchio,five years later,
Tom Maxwell,Samsara,
Tom McCormack,Rose Colored glasses,
Tom McRae,Tom McRae,
Tom Morello,The Nightwatchman,
Tom Morello ,The Nightwarchman The Fabled City,
Tom Paxton,It Ain't Easy,
Tom Paxton and Anne Hills,Under American Skies,
Tom Paxton Anne Hills,Under American Skies,
Tom Petty,You Don't Know How It Feels,
Tom Petty and the Heartbreakers,Kings Highway,
Tom Petty and The Heartbreakers,Mary Jane's Last Dance,
Tom Petty and The Heartbreakers,Walls,
Tom Pirozzoli,Travels,
Tom Racer,The Secret's Out,
Tom Russell,Borderland,
Tom Tom Club,Sunshine and Ecstasy,
Tom Tom Club,"The Good, The Bad, and The Funky",
Tom Tom Club,Dark Sneak Love Action,
Tom Tom Club,Tom Tom Club,
Tom Varner,Swimming,
Tom Vedvik,Sutra Spin,
Tom Waits,Orphans,
Tom Waits,New Coat of Paint,
Tom Waits,Real Gone,
Tom Waits,Blood Money,
Tom Waits,Mule Variations,
Tom Waits,The Black Rider,
Tom Waits ,Alice,
Tom Watts,Mule Variations(selections),
Tom Watts,The Hear of Saturday Night,
Tom Wilson,Slim X,
Tom Wolfe,A Conversation with Tom Wolfe,
Tom Ze,The Hips of Tradition,
"Tomas Korber, Erikm, Toshimaru Nakamura, and Otomo Yoshihide",Brackwater,
Tommy Boy,The Remixes,
Tommy Boy,Greatest Beats,
Tommy Castro,Live at the Fillmore,
Tommy Castro,Right As Rain,
Tommy Castro,Exception to the Rule,
Tommy Keene,The Merry-Go-Round Broke Down,
Tommy Keene,Ten Years After,
Tommy Keene,The Real Underground,
Tommy Page,I'll Be Your Everything,
Tommy Wiggins,Adult Themes,
Tommy's Darkling Thrush,Soul Killer,
"Tommyknockers, The",Perception Is Reality,
Tomo Nakayama,Fog on the Lens,
Tomorrow Friend,Past Old Demos,
Tomovsky,Let's Do It On The Phone (Denwa de sumaso),
Tomze,Postmodern Platos,
Tomze Fabrication Defect,Com Defeito De Fabricacao,
Tongue Dried Sun,Zero Hour,
Tongue Dried Sun,Top Shelf,
Tongue Lash,Tongue Lash,
Toni Price,Midnight Pumpkin,
Tonic ,Sugar,
Toninho Horta,World Pacific,
Tonto Tonto,Mirror for the Blame,
Tony Allen,Homecooking,
Tony Brown,Music for a Sprinkling World,
Tony C and the Truth,Demonophonic Blues,
Tony Castles,No Service,
Tony Memmel,Here We Go,
Tony Rebel ,Vibes of the Time,
Tony Rebel & Garnett Silk,In a Dancehall Conference,
Tony Romanello,the MumbleOdd,
Tony Travalini & All the Rage,Offline,
Tonya,I've Been Having An Affair,
Tonya,You Ain't Right Remix,
Tonya,Tender Trap,
Tonya,You Ain't Right,
Too Late for Roses,Debut,
Too Much Joy,Long Haired Guys From England,
Too Much Joy,"""Starry Eyes""/""No One Can Be That Stupid""",
Too Much Joy,...Finally,
Too Much Joy,Besides,
Too Much Trouble,Family Can Be Your Worst Enemy,
Tool,Lateralus,
Tool,Aenima,
Tool,self-titled,
Tooth & Nail,Songs From the Penalty Box,
Toots and the Maytaks,True Love,
Top,Top,
Top,Emotion Lotion,
Top Choice Clique,I Think To Myself,
Top Dogg,Top Dogg Cindafella,
Top Jimmy,The Good Times Are Killing Me,
Top Quality,Magnum Opus,
Topaz,The Zone,
Topaz,Listen!,
Topheavy,Bitesize,
Topher Mohr,Phlotilla,
Toploader,Onka's Big Moka,
Tor Lundvall,The Seasons Unfold (Sampler),
Tora! Tora! Torrance!,Get Into It,
Torch,A Six Degreed Collection of Modern Torch Songs,
Torch Bearers,A Compilation of 11 Club Culture Vanguards,
Torch Song,Toward the Unknown Region,
Torchbearers,(Sampler),
Torcher,Losing You,
Tori Amos,A Sorta Fairytale,
Tori Amos,To Venus and Back,
Tori Amos,Taxi Ride,
Tori Amos,American Doll Posse,
Tori Amos,Tales of a Librarian,
Tori Amos,Little Earthquakes,
Tori Amos,Welcome to Sunny Florida,
Tori Amos,Under the Pink,
Tori Amos,Little Drummer Boy,
Tori Amos,God,
Tori Amos,Mary,
Tori Amos,StrangeLittleGirls,
Tori Amos,Hey Jupiter,
Tori Amos,The Beekeeper,
Tori Amos,To Venus and Back,
Tori Amos,Rainn PSA/ Silent All These Years,
Tori Amos,from the choirgirl hotel,
Tori Amos,Scarlet's Walk,
Tori amos,Scarlet's Walk (selections),
Tori Amos ,Tea With The Waitress,
Tori Sparks,Rivers + Roads,
"Tories, The",Wonderful Life,
Tornado Room,Fish Feathers,
Tornado Room,Green Milk & Other Tunes,
Toro y Moi,Causers of this,
Toro Y Moi,Underneath The Pine,
Toro Y moi,x,
Torrez,The Evening Drag,
Torso,Ruin Your World,
Torwater,Dwellers on the Threshold,
Toshack Highway,Toshack Highway,
"Tossers, The","No Loot, No Booze, No Fun",
Total Babe,Heatwave EP,
Total Eclipse,Violent Relaxation,
Totaro,Toe Tar Row,
Totimoshi,Mysterioso,
"Tough Alliance, The",A New Chance,
Tourniquet,Pathogenic Ocular Dissonance,
Toussaint,Black Gold,
Towa Tei,Last Century Modern,
Towa Tei,Future Listening,
Towa Tei,Sound Museum,
Towering Inferno,Kaddish,
Towering Pretzels,Plastic Palms,
Towers of London,Blood Sweat & Towers,
Townhall,Live at the Point,
Township ,Coming Home,
TR-i,The Individualist,
Tracey Chapman ,Let it Rain ,TRASH
Tracey Thora,Out of the Woods,Station
Tracey's Alibi,Well Kept Secret,
Trachtenburg Family Slideshow Players,Vintage Slide Connections,
Tracy and the Hindenburg Ground Crew,Margaret Dumont,Station
Tracy Chapman,Crossroads,
Tracy Chapman,New Beginning,
Tracy Chapman,Bang Bang Bang,
Tracy Grammer,Flowers of Avalon,Station
Tracy Spuehler,It's The Sound,Station
Trae,Unimaginative,
Traffic,The Low Spark of High Heeled Boys,Station
Trafik,Bullet,
Tragedy Andy,It's Never Too Late to Start Over,
"Tragically Hip, The",PHANTOM POWER,
"Tragically Hip, The",Three Pistols,storage
Trailside Rangers,The Great Divide,
Tram,frequently asked questions,
Tram,A Kind of Closure,
Tram,Heavy Black Frame,
