Artist,Album
Schoolly D,Where'd you get that funk from
Schtum,grow
Schubert,toilet songs
Science For Girls,Science For Girls
Science Kit,7 Times Around
Scientific American,Strong For the Youth
Scientificlifestyle,The Arrow EP
Scissor Sisters,Ta-Dah
Scissorkiss,Scissorkiss
Scissors for Lefty,Underhanded romance
"Scofflaws, The",Ska in Hi-Fi
"Scofflaws, The",Record of Convictions
"Scofflaws, The",Live Vol. 1
"Scooters, The",Peepshow
"Scooters, The ",I can see your house from here
Scorn,Ellipsis
Scorpio Rising,Zodiac Killers
Scorpio Rising,Pig Symphony
Scotch Greens,Professional
Scotch Rocks,Scotch Rocks
Scotland Yard,24/7
"Scotland Yard Gospel Choir, The",i bet you say that to all the boys
Scott Douglas,She Had
Scott Garth,Scott Garth
Scott Hardkiss presents God Within,crucial introspection parts one and two
Scott Miller & The Commonwealth,Thus Always to Tyrants
Scott Murray,Stutter
Scott Thomas,Shine Like You
Scott Thomas Band,California
Scott Vestal,Millenia
Scott Weiland,Happy in Galoshes
Scott Weiland,Barbarella
Scott4,Sampler
Scott4,Recorded In State Lp
Scout,It seemed like a good idea at the time
Scoville Unit,Everybody Knows
Scrawl,Travel On Scrawl
Scrawl,"Travel On, Rider"
Scrawl,Nature Film
Scream! Hello,The Infinite Son
Screamfeeder,Burn Out Your Name
Screamfeeder,Kitten Licks
"Screamin' Cheetah Wheelies, The",Magnolia
Screaming Females,Castle Talk
Screaming Females,Ugly
"Screaming Jets, The","Screaming Jets, The"
"Screaming Jets, The",Tear of Thought
Screaming Politicians,Manumit
Screaming Trees,All I know
Screaming Trees,Dollar Bill
Screaming Trees,Uncle Anesthesia
Screaming Trees,Sweet Oblivion
Screaming Trees,Something About Today
Screaming Trees,Bed of Roses
Screaming Trees,Dust
Screaming Trees,Nearly Lost You
Screaming Trees,Shadow of the Season
Screaming Trees,Uncle Anesthesia
Screeching Weasel,Televsion City Dream
Screeching Weasel,Teen Punks in Heat
Screeching Weasel ,Kill The Musicians
Screed,Live at Tilt NYC
Screwdriver,"Calling, Calling"
Screwy Louie ,Comes to America
"Script, The",The Script
"Scruffs, The",Conquest
Scrüj MacDuhk,"Road to Canso, The"
Scuba La Boobala,Scuba La Boobala
"Sea Navy, The",The Sea Navy
Sea of Souls,Titanic
Sea Ray,Revelry
Sea Rhapsody,Sea Rhapsody
Sea Tiger,"""Teenage Bandit"" LP, The"
Sea Wolf,Get To The River Before It Runs Too Low
Sea Wolf,"White Water, White Bloom"
Sea Wolf,Leaves in the River
Seachange,Lay of the Land
Seafood,When do we start fighting
Seafood,Paper Crown King
"Seahorses, The",Love is the Law
"Seahorses, The",Do it yourself
Seal,Killer
Seal,The Beginning
"Sealand Poets, the",Welcome to the Heathen Reserve
"Sealand Poets, The",Shooting Star
Sean and Ian,"100,000 years of Sean and Ian"
Sean Grant,Keep on Pressing
Sean Lennon,Into the Sun
Sean Lennon,Half Horse Half Musician
Sean Na Na,Dance Till Your Baby is a Man
Sean Paul,Gimme the Light (remix)
Sean Yoxovic,Eastern Spirit
Sean-Gemini,Cocain-Champagne
Seapony,Falling
Season of the Spring,
Season to Risk,In a Perfect World
Season to Risk,Men Are Robots. Robots Win.
Season to Risk,Season to Risk
Seasurfer,Dive In
Seasurfer,Dive In
Seaweed,Spanaway
Seaworthy,The Ride
Seb Fontaine,Prototype
Sebadoh,"""The Sebadoh"""
Sebadoh,"""Flame""Radio Pro74661-2"
Sebastian,Total
Sebastien Grainger,Sebastien Grainger & The Mountains
Sebastien Tellier,L'Incroyable Vérité
Second Self,M O O D Ring
Second Sufis,Pearl
Second To Mecca,11 Song Promo
Second to Mecca,Scrap Metal Sun
Secondhand,Sureshots
Seconds Before,Further Destinations
"Seconds, The",Y
Secret Crush Society,Baltimore Chapter
"Secret History, The",The World that Never Was
Secret Machines,Ten Silver Drops
Secret Machines,Now here is nowhere 
Secret Machines,"Road Leads Where It's Lead, The"
Secret Machines,Now Here Is Nowhere
"Secret Stars, The",Shrimper Records
Secretary Bird,Secretary Bird
Secretly Canadian,Yeasayer
"Sectino Quartet, The",Fuzzbox
Section 12,Decline
Section 12,Decline
"Sedgwicks, The",Parking Lot Exortion 
See ,The Ocean Blue
Seed,Seed
seed,"""ling"""
Seedfolks,Never Felt this Way
Seedy Gonzales,EP
Seefeel,Polyfusia
Seela,Something Happened
Seely,Winter Birds
Seely,Seconds
Seely,Julie Only
Seer,2020
"Seers, The",Signals EP
"Seers, The",Signals
Seki,Before the Last Song at Wounded Hill
Selby Tigers,Charm City
Selby Tigers,The Curse of the Selby Tigers
Seldom,Romance
Seldom Scene,Scene it all
Seldom Scene,Interview
Seldom Seem,To Soften the Impact
Selena,Dreaming of You
Selena Cross,Strip
Self,Breakfast With Girls
Self,The Half-Baked Serenade
Self-Evident,Self-Evident
"Self-Proclaimed Rockstars, The",Postcards from Purgatory
Selfish,The Other Two
Semiautomatic,Resident Genius
Semifinalists,Semifinalists
Semisonic,All about Chemistry
Semisonic,Feeling Strangely Fine
Semper Satago,A Domino Compilation
Seneca,Existe
Senor happy,
Señor Happy,Señor Happy
Senor Kasio,Big Fat Turkey
Sensation,Beautiful Morning
Sensation,Nothing
Sense Field,Sense Field
Sense Field,Killed For Less
Sense Field,Schoolly
Sense Field,Schoolly D
Sense Field,Scott Thomas Band
Senseless Things,Everybody's Gone
Senseless Things,The First of Too Many
senseless things,got it at the delmar
Senses Fail,Still Searching
Senses Fail,Let it Enfold you
Sepco,A.T.S.
September 67,Lucky Shoe
September Say Goodbye,You're Lucky It's The Weekend
Sepultura,Against
Sepultura,Chaos A.D.
Sepultura,Blood Rooted
Sepultura,Roots
Sera Cahoone,Only As The Day Is Long
Sera Cohoone,Deer Creek Canyon
Serart,Serart 
Seratonin,S-HT
Serene UK,The Oak Land EP
Serge Gainsbourg,Du Jazz dans le ravin
Serge Gainsbourg,Couleur Café
Sergio Mendes,Encanto
Serial Killer,Night Diving in Small Towns
Serial Thrillers,Score
Series 7,Are You Game?
Serious Smokers,The Best of Ras Command
Serj Tankian,Elect The Dead
Serum,"""Serum"""
Serum,Dirty Girl Scout
Service Engine Soon,The Flying Sheep
Servotron,Entertainment Program For Humans (Second Variety)
Seth Glier,"Trouble With People, The"
Seume,It Is What It Is
Seven Day Diary ,Fig. 6
Seven Day Diary ,He Can
Seven Day Diary ,skin and blister
Seven Handle Circus,Whiskey Stills & Sleeping Pills
Seven Mary Three,Sleepwalking
Seven Mary Three,RockCrown
Seven Octaves,Simple Work
Seven Octaves,Simple Work
Seven Percent Solution,Gabriel's Waltz
Seven Saturdays,Seven Saturdays
Seven Stories,Judges and Bagmen
Seven Trees,Embracing the Unknown
Sevendust,Live + Acoustic
Seventeen,Ransom Your Handsome
Seventeen,Bikini Pie Fight!
Sewer Election,Sex/Death
Sex Clark Five,Antedium
Sex Mob,Solid Sender
Sex Mob,Sex Mob Does Bond
Sex Mob,Dime Grind Palace
Sex Pistols,Filthy Lucre Live
Sex Police,Medallion
Sex Police ,Medallion
"sexbots, the",Don't Stop
Sexpod,Goddess Blues
"Sextants, The",I Don't Lie
"Sextants, The",Lucky You
"sextons, the",The Sextons
"Seymores, The",1000 lb. Grr'lla
"Seymores, The",Arcade Boy/Cannot Tell You
"seymores, the",treat her like a show cat
Sh! The Octopus,Carrot Chase
sha-key,a head nadda's journey to adidi skizm
Shabaz,Shabaz
Shabazz Palaces,Black Up (clean edits)
Shabba Ranks,Jam
Shabba Ranks,Rough & Ready - Volume II
Shabba Ranks,Slow and Sexy
Shabba Ranks,House Call
Shabba Ranks,Muscle Grip
Shabba Ranks & The Music Works Crew,No Competition
"Shackeltons, The",The Shackeltons
Shades Apart,Sonic Boom
Shades Apart,Eyewitness
Shades Apart,Eyewitness
Shadow Box,The Distance
Shadowclub,Gund and Money
Shadowy Men On a Shadowy Planet,Sport Fishin
Shadwell,Clarity
Shadz of Lingo,A View to Kill
Shaft.,Quint
Shaggy,Oh Carolina
Shaggy,The Train is Coming
Shaggy,Midnite Lover
"Shagnastys, The","Young, Dumb, and Beautiful"
Shahin & Sepehr,World Cafe
Shahin and Sepehir,One Thousand And One Nights
Shahin and Sepehr,e
Shahin and Sepehr,Aria
Shake Appeal ,You're Too Rich
Shakespear's Sister,Hormonally Yours
Sham Pain,My Life
Sham Pain,Pimp of The Century
"Shame Idols, The",I Got Time
Shameem,The Second City
Shamen,Boss Drum
"Shamen, The",Make It Mine
"Shamen, The",Love Sex Intelligence
"Shamen, The",Axis Mutatis
"Shamen, The",Four Top 5 UK Singles
"Shamen, The",En-Tact
Shampoo,We Are Shampoo
"Shams, The",Quilt
Shanachie 5738,Help Us Get High
Shane MacGowan and the Popes,The Snake
Shane MacGowan's Popes,Across the Broad Atlantic
Shane Scott,Girl in the Red
Shanghai Valentine,Shanghai Valentine
Shank-456,The Big Payback
Shannon Bryant,Light
Shannon McNally,Jukebox Sparrows
Shaolin Dynasty of the Serious Beats,Shaolin Dynasty of the Serious Beats
"Sharking, The",The Sharking
Sharlene,Midnight Madness
Sharon Katz & The Peace Train,Imbizo
Sharon Stoned,License To Confuse
Sharp Nine,Untimed
Shaunna,Who Are You?
Shaw ,Pretending We're Not Animals
Shawn Calvin,Cover Girl
Shawn Colvin,Round Of Blues
Shawn Colvin,A Few Small Repairs
Shawn Colvin ,Fat City
Shawn Mullins,Beneath the Velvet Sun
Shawn Mullins,Nameless Faces
Shawn Stockman,Visions of a Sunset
Shayne Holland,Unconditional
Shayne Zaid,The Catch
She Is So Beautiful/She Is So Blonde,S/T
She Mob,Turn to Chocolate
She Wants Revenge,This Is Forever
She Wants Revenge,True Romance
She Wants Revenge,She Wants Revenge
Shea Seger,May Street Project
Shea Seger,Last Time
Shearwater,Jet Plane and Oxbow
Shearwater,Fellow Travelers
Shearwater,Animal Joy
Sheavy,Celestial Hi-Fi
Sheep On Drugs,Greatest Hits
Sheep On Drugs,Track X
Sheep On Drugs,From A To H And Back Again
Sheep On Drugs,One For The Money
"Sheepdogs, The",Big Stand
Sheer Bliss,See You In The Clouds
Sheez Late,Light
"Sheila Divine, The",Where Have My Countrymen Gone
Sheila Nicholls,brief strop
Shelby Lynne,Killin' Kind
Shelby St. James,"""Got Bump in da Trunk (Like Boom!)"
Shelby Starner,From In The Shadows
"Shelia Devine, The",Secret Society
"Shelia Devine, The","Shelia Devine, The"
Shelley Hirsch,States
Shelley Winters Project,i hate everything but you
Shelleyan Orphan,humroot
Shelleyan Orphan,Waking Up
Shelter,Mantra
Shelter,Beyond Planet Earth
Shelter,Attaining the Supreme
Shelter Belt,Rain Home
Shemeem,Shemeem
Shemekia Copeland,Turn The Heat Up
Sheppard,Sheppard (EP)
Shervy,Electric Sleep
Sherwood,A Different Light
Shift,the get rich quick scheme
Shift,get in
Shift,pathos
Shimmy,Starting Over
Shinehead,Troddin'
Shiner,Lula Divinia
Shiner,Making Love e.p.
Shining Twins,Come Play With Us
Shins,Chutes Too Narrow
Shins,Phantom Limb
Shins,So Says I
Shiny Toy Guns,Ghost Towns
Shiny Toy Guns,We Are Pilots
Shiny Toy Guns,Season Of Poison
Shirk Circus,March
Shirley,City of Dust
Shirley,Holiday Sampler
Shirly Horn,I Remember Miles
Shiroseasons,Shiroseasons
Shite n' Onions,What the Shite
Shivaree,I Oughtta Give You A Shot in the Head For Making Me Live In This Dump
Shivaree,Who's Got Trouble?
Shiver,Last Rides of the Midway 
Shizuo vs. Shizor,Grand Royal
"Shocker, The",Up Your Ass Tray
Shocking ,Pink
shoe.,The Speed of Life
sHoeGHER,Intoxicated Birthday Lies
Shoeless Joe,Cannibal
Shoes,Stolen Wishes
Shofar,wake me
Shohen Knife,The Birds and The B-Sides
Shomari,If You Feel The Need
Shomari,Every Day Has A Sun
"Shondes, The",The Red Sea
Shonen Knife,Rock Animals
Shonen Knife,Tomato Head
Shonen Knife,Happy Hour
Shonen Knife,Let's Knife
Shooting at Unarmed Men,Yes! Tinnitus!
Shooting Gallery,Shooting Gallery
Shooting Gallery,House of Ecstasy
Shootyz Groone,Hipnosis
Shootyz Groove,Five From J.I.V.E.
Shootyz Groove,High Definition
Shootyz Groove,The Craze
Shootyz Groove,El Sol
Shootyz Groove,Jammin in Vicious Environments
Shootyz Groove,Respect
"Shore, The",The Shore
Short Happy Life,Album is Also Called Short Happy Life
Shortwave Radio,Avenues
Shotgun,Symphony
Shotput,1 Family Mover
Shout Out Loud,Howl Howl Gaff Gaff
Shout Out Louds,Our Ill Wills
Shout Out Out Out Out,Not Saying/ Just Saying
Shout Out Out Out Out,Reintegration Time
Shoveljerk,killing my buzz
Show & Tell,A stormy remembrance of TV Theme songs
Showoff,CD Advance
Shred Kelly,In The Hills
Shriekback,The Bastard Sons of Enoch
Shriekback,Psycho Drift
Shriekback,The Dancing Years
Shrine,Psycha
"Shrinking Islands, The",In the Black Carpet 
Shrug,Whole Hog For The Macho Jesus
Shudder To Think,Hit. Liquor
Shudder to Think,Shudder to Think
Shudder To Think,"50,000 BC"
Shudder to Think,Red House
Shudder to Think,pony express record
Shugo Tokumaru,Exit
"Shut up, it's Christmas",a suddenly tammy holiday e.p
Shuvel,"""Those Who Stand In the Line"" "
Shuvel,Set It Off
Shwach,A Night in the Life of Shwach
Shy Child,Noise Won't Stop
Shyheim,RNS Original Remix of One's For the Money
"Shys, The",Astoria
Sia,Colour The Small One
Sia,Lady Croissant
Sia,Some People Have Real Problems
Sianspheric,Else
Siberia,Return to Sender
Siberia,Damage
Siberia,Harm's Way
Sic Alps,Pleasures and Treasures
Sick of it All,Call to Arms
Sick of It All,Cool As A Mustache
Sick of It All,Maladjusted
Sick Of It All,Us vs Them 
Sick of it All,Built to Last
Sick Of It All,Scratch the Surface
Sick of It All,Step Down
Sick of It All,
Sick of It All,Maladjusted
Sick of It All,Cool as a Mustache
Sid and B-Tonn,Deathwish
"Sid Hillman Quartet, The",Volume II
"Sidemen, The",Live! From The Citgo Sign
Sidestepper,3AM (In Beats We Trust)
Sidestepper,3AM (In Beats We Trust)
Sidewalk Driver,For All the Boys & Girls
Sidewalk Kato,1st Class Chump
Sideways Reign,A Stand For All Ages
Sideways Soul,"The Jon Spencer Blues Explosion, Dub Narcotic Sound System"
Sidewinders,
Sidewinders,What Am I Supposed To Do?
Sidewinders,Bad Crazy Sun
Sidewinders,Witchdoctor
Sidewinders,Auntie Ramos' Pool Hall
"Sidewinders, The",Come and Get It
Siempre Juntos,Laito Jr. Laito Sr.
Sierra Leone's Refugee All Stars,Living Like A Refugee
Sierra Leone's Refugee All-Stars,Living Like a Refugee
Sierra Maestra,Tibiri Tabara
Sierra West,Hold Your Fire
Siggy,Harlow's Girl
"Sighs, The",Think About Soul
"Sighs, The",What Goes On
"Sight-Seers, The",Shotput
"Sights, The",The Sights
Signal,The Message Is Clear...
Signal Hill Transmission,An Empty Space
Signs of Life,Never Enough
Signspheric,Else
Sigur Ros,
"Silencers, The",Bulletproof Heart
"Silencers, The",Razor Blades of Love
"Silencers, The",The Real McCoy
"Silencers, The",Sampler
"Silencers, The",Dance to the Holyman
"Silencers, The",I See Red
Silencio = Muerte,Red Hot + Latin
Silencio=Muerte,Red Hot+ Latin
Silent Assassin,Sly and Robbie
"Silent Partner, the",Fall Away
Silent Rage,Rebel With a Cause
Silent Rider,Silent Rider
"Silent Years, The",The Silent Years
SIlentmajority,You would love to know
Silk Flowers,LTD. Form
Silkk the Shocker,Go Down
Silkk The Shocker,He Did That
Silkk The Shocker,That's Cool
Silkk The Shocker,Pop Lockin'
Silkk The Shocker,Them Boyz
Silkworm,Even a Blind Chicken Finds a Kernal of Corn Now and Then
Silkworm,Developer
Silkworm,Silkworm
Silkworm,Radio/Retail Sampler
Silly Pillows,New Affections
Silo The Huskie,Sons of Columbus
"Silos, The",I'm Over You
"Silos, The",Laser Beam Next Door
"SIlos, The",(We'll Go) Out of Town
"Silos, The",(We'll Go) Out of Town
"Silos, The",Laser Bean Next Door
"Silos, The",The Silos
Silver Daggers,New High & Ord
Silver Jews,Tanglewood Numbers
"Silver Lining, the",Well Dressed Blues
"Silver Lining, The",Well Dressed Blues
Silver Scooter,Orleans Parish
Silver Scooter,Orleans Parish
"Silver Seas, The",Chateau Revenge
Silver Star and the Jukebox Angels,Silver Star and the Jukebox Angels
Silver Star and the Jukebox Angels,
Silver Starling,Silver Starling
Silver State,
"Silver State, The",The Silver State
Silver Sun,Dad's Weird Dream
"Silver Waveforms, The",The Silver Waveforms
Silverback,Birmingham Small Arms Fire
Silverchair,Anthem For The Year 2000
Silverchair,Frogstomp
Silverchair,Diorama
Silverchair,Neon Ballroom
Silverchair,Neon Ballroom
Silverchair,Tomorrow
Silverchair,Abuse Me
Silverchair,Freak Show
Silverfish,Organ Fan
Silverfish,Crazy
Silverjet,Pull me up
Silverstein,Arrivals & Departures
Silversun Pickups,*Title TBA*
Silversun Pickups,Swoon
Silvertooth,Ethan Daneil Davidson
Silvio Rodriguez,Los Clasicos de Cuba 1
Simian,We Are Your Friends
Simian Mobile Disco,Attack Decay Sustain Release
Simon,Buzzlife
Simon and Milo,Ready Ready Set Go
Simon and Milo,Ready Ready Set Go
Simon Dawes,Carnivore
Simon Says,Shut Your Breath
Simon Says,Jump Start
Simon Says,Blister
Simon Tittley,Broken Heart & Shattered Dream
Simple Complex,Come Undone
Simple Kid,1
Simple Minds,See The Lights
Simple Minds,She's A River
Simple Plan,I'm Just a Kid
Simple Plan,"No Pads, No Helmets...Just Balls"
Simply Red,Never Never Love
Simply Red,Life
Simply Red,Fairground
"Simpsons, The","""God Bless The Child"" "
Sin Chisme,Arte Mixto
Sin Dios,Omerta
Sin Ropas,Three Cherries
Sincebyman,We Sing the Body Electric
Sinch,Sinch
Sinchisme,Arte Mixto
Sinclaire,Attention Teenage Girl
Sincola,what the nothinghead said
Sinead O'Connor,Universal Mother
Sinead O'Connor,My Special Child
Sinead O'Connor,Nothng Compares 2 U
Sinead O'Connor,faith and courage
Sinead O'Connor,fire on babylon
Sinead O'Connor,sucess has made a failure of our home
Sing It Loud,Come Around
Single Frame,Body/End/Basement
Single Frame,Single Frame
Single Frame,Single Frame
Single Gun Theory,"Flow, river of my soul"
Sinister Dane,Sinister Dane
Sinkane ,Color Voice
Sins Tailor,Ticket For Destination
Sintesis,Orishas
Sinti,Sinti
Siouxsie,Mantaray
Siouxsie ,Mantaray
Siouxsie & The Banshees,Songs Before The Rapture
Siouxsie & The Banshees,Kiss them for me
Siouxsie & The Banshees,Fear of the Unknown
Siouxsie and the Banshees,Fear (Of The Unknown)
Siouxsie and the Banshees,Fear (Of The Unknown)
Siouxsie and the Banshees,Kiss Them For Me
Sir Mix-a-Lot,Swap Meet Louie
Sir Mix-A-Lot,Chief Boot Knocka
Sirens,On The Might of Princess
Sirens Sister,Echoes From The Ocean Floor 
Sirensong ,The Cruelty of Children 
Sirensong ,Sirensong
"Sirius Expeditions, The",
"Sirius Expeditions, The",Dogon
SISKO,Min Max
Sissy Wish,Beauties Never Die
Sister 7,This the trip
Sister Carol,Call Me
Sister Double Happiness,Hey Kids
Sister Double Happiness,Heart and Mind
Sister Machine Gun,Burn
Sister Machine Gun,Metropolis
Sister Machine Gun,The Torture Technique
Sister Machine Gun,Addiction
Sister Machine Gun,Burn
