Artist,Album
Hey Ocean!,It's Easier to be Somebody Else
hHead,Jerk
"Hi Hats, The",SKA Got Soul
Hi-Fidelity Dub Sessions,The Second Chapter
"Hi-Fives, The ",Get Down 
"Hi-frequencies, the",The Regime Records
"Hi-frequencies, the",Money Isn't Everything
Hi-Standard,Making the Road
Hi-Tek,Hi-Teknology 2
Hi-Tek,Hi-Teknology
Hi-Tek,Hi-Teknology
Hiatus Kaiyote,Tawk Tomahawk
"Hidden Cameras, The",Awoo
"Hidden Cameras, The",The Smell of Our Own
"Hidden Canadiens, The",Empty Chairs; Festivity
Hidden Tracks,The Sweet Sound of Excess
"Hiding, The",Self Titled
"High & Mighty, The",Soundbombing II
"High and Mighties, The",The Evolution EP
High Ceiling,Illusions
"High Ceilings, The",The Edge is as Safe as the Ground
"High Decibels, The",Self Titled 
"High Llamas, The",Cold and Bouncy
"High Llamas, The",Lollo Rosso
"High Llamas, The","Retrospective, Rarities & Instrumentals"
"High Llamas, The",Snowbug
"High Strung, The",Follow Through On Your Backhand
"High Strung, The",These Are Good Times
"High Strung, The ",get the guests 
"Highdials, The",A New Devotion
Higher and Higher,The Best of Heaven 17
"Higher Intelligence Agency, The",Freefloater
"Higher, The",On Fire
HighMay,Belong
Hil St Soul,Strictly a Vibe Thang
Hilde Marie Kjersem,A Killer for that Ache
Hillard,Inside Out
Hilton Ruiz,Doin' it Right
Him,Join Me
Himalayan Bear ,Hard Times 
Himekami,Journey to Zipangu
Hinder,Loaded and Alone
Hink,Strength
Hip Tanaka,Le Jihad
Hip Tanaka,The Sky is Smaller than the Sea
Hippo,That's My Banana
"Hippos, The",Heads Are Gonna Roll
Hiroko Kokubu,Pure Heart
His Name is Alive,Sings Man on the Silver Mountain and 8 other songs
His Name is Alive,Mouth By Mouth
His Name is Alive,Home is in Your Head
His Name is Alive,Detrola
His Name is Alive,Lake
"History of Colour TV, The",Emerald Cures Chic Ills
Hive,Ultrasonic Sound
Hive,Devious Methods
Hive ,Working With Sound
"Hives, The",Tyrannosaurus
Hoarse,Happens Twice
Hoarse,Hoarse
Hobex,"U Ready, Man?"
Hockey,Mind Chaos
Hockey,Too Fake
Hockey Night,Rad Zapping
"Hold Steady, The",Boys and Girls in America
"Hold Steady, The",Separation Sunday
"Hold Steady, The",Stay Positive
Hole,Doll Parts
Hole,Miss World
Hole,Violet
Hole , Gold Dust Woman 
Holiday,Cafe Reggio
Holiday,Fashionably Late
hollAnd,Coughing Up Stars
Holley Maher,Odd Place To Be
Holleycarbines,Glide Down Over Earth 
Hollis Brown,Hollis Brown
Holly Brook,Holly Brook
Holly Brook,Like Blood Like Honey
Holly McNarland,Sour Pie
Holly McNarland,Stuff
Holly Near,Early Warnings
Holly Near,And Still We Sing
Holly Near & Ronnie Gilbert,Lifeline Extended
Holopaw,Holopaw
Holopaw,Quit +/or Fight
Holy Barbarians,Brother Fights
Holy Barbarians,Cream
"Holy Childhood, The",Up With What I'm Down With
Holy Gang,Free! Tyson Free!
"Holy Goats, The",Next Round
Holy Hand Grenade,Smoked
"Holy Modal Rounders, The",Last Round
Holy Shit,Stranded At Two Harbors
Home,XIV
Home,13:Netherregions
Home Grown,Act Your Age
Home Made Crazy,Synergy
Home Video,Citizen EP
Homebodies,A-Bomb
Homer Erotic,Homerica the Beautiful
Honey And The Bees.,Bzzz
Honey Bunch,Time Trials 1987-1995
Honey Circuit,Dissolving I
"Honey Wagon, A",How Come Every Time We Get Kentucky Fried Chicken It's Raining Outside?
"Honeydogs, The",Seen a Ghost
Honeydogs. The,Here's Luck
"Honeyrods, The","Honeyrods, The"
Honor Bright,Build Hearts From Stars
"Honorary Title, The",Anything Else But The Truth
Hoobastank,Out of Control
Hoobastank,Remember Me
Hoobastank,Running Away
Hoopdreams,Dark Summer
Hoorayforearth,Cellphone
"Hoosiers, The",The Hoosiers
"Hoosiers, The",The Trick to Life
Hootie & The Blowfish,Cracked Rear View
Hootie & The Blowfish,Fairweather Johnson
Hoots & Hellmouth,The Holy Open Secret
Hoover's G-string,Self Titled
Hooverphonic,Mad About You
Hooverphonic,The Magnificent Tree
Hooverphonic,2Wicky
Hope of the States,Winter Riot Dust Racks
Hope Sandoval & The Warm Intentions,Bavarian Fruit Bread
"Hopefuls, The",Now Playing at the One Seat Theatre
Hopeless,The End
Hopewell,The Curve Glass
"Hops, The",Won't It Be Fun
Hor,House
Horace Andy,Living in the Flood
Horace Pinker,Burn Tempe To The Ground
Horace Pinker,Power Tools
Horatio Lee Jenkins,Drunker Than Satan
Horny Toad!,Thirteen
HorrorPops,Kiss Kiss Kill Kill
HorrorPops,Hell Yeah!
HorrorPops,Bring It On!
"Horrors, The",Stolen Transmission
"Horse Files, The",Sampler
"Horse Files, The",Human Fly
"Horse Flies, The ",Gravity Dance 
Hospice,Ho Ho Ho Spice 
Hospital Ships,"Oh, Ramona"
Hostile Omish,One Horse Power
Hostile Omish,Olde Order of Omish
Hot As Sun,Night Time Sound Desire
Hot Chip,Remixes and Rarities
Hot Chip,Made in the Dark
Hot Chip,Made in the Dark
Hot Chip,Coming on Strong
Hot Chip,Boy From School
"Hot Club De France, Le",Sampler
Hot Day at the Zoo,Zoograss
Hot Hot Heat,Make up the Breakdown
Hot Hot Heat,Knock Knock Knock
Hot Hot Heat,Happiness ltd.
Hot Hot Heat,Future Breeds
Hot Hot Heat,Elevator
Hot Hot Heat,Goodnight Goodnight
Hot Lava Monster,The Way of the Dinosaur
Hot One,Self-Titled
Hot Panda,Volcano... Bloody Volcano
Hot Rod Circuit,The Underground is a Dying Breed
Hot Rod Circuit,Sorry About Tomorrow
Hot Rod Circuit,Reality's Coming Through
Hot Snakes,Audit in Progress
Hot Steel and Cool Ukelele,Hapa Haole Hit Parade
Hot Tuna,Pair a Dice Found
Hot Water Music,Caution
Hot Water Music ,The New What Next
Hot Water Music ,Hot Water
Hot Water Music ,A Flight and a Crash
Hot! Cinnamon Churros,Self Titled 
Hotbox,Lickity Split
Hotel Eden,A Way Back Home
Hotel Lights ,Hotel Lights 
Hotel X,Uncommon Grounds
Hotel X,routes music
Hotel X,Ladders
House,I am the Greatest
"House Full of Friends, A",Self Titled 
House of Brakes,Make Me
House of Secrets,Otep
House on a Hill,Ladyslipper
House on Fire,volume two
Houston,I Like That
Hoven Droven,Jumping at the Cedar
Hovercraft,Experiment Below 
How Big?,"Mmm, That Was Delicious. I Wonder What It Was."
How Far to Austin,Goodnight Madison
Howe ,Hisser
Howie B,Turn the Dark Off
Howie B,Snatch
Howie B,"Sly and Robbie, Drum and Bass, Strip to the Bone"
Howie B,Music for Babies
Howie B.,Another Late Night
Howie Day,Australia
Howie Day ,Stop All the World Now 
Howie Day ,Sorry So Sorry
Howie Day ,Perfect Time of Day
Howie Day ,The Madrigals E.P. 
Howie Day ,Ghost
Howie Day , Extras 
"Howl, The",Megahorn Breakdown Suite
Howlies ,Trippin' With Howlies
Howlig Diablos ,Car Wash 
Howlin Rain,Magnificent Fiend
Howlin' Maggie ,Honeysuckle Strange
Howlin' Maggie ,Hyde 
Howling Bells,Radio Wars
Huck,nothing to hold onto but a grudge
Hudson Bell,Captain of the Old Girls 
Hudson Mohawke,Butter
Huevos Rancheros ,Get Outta Dodge 
Huge Shark,Almost Over
Hugh Blumenfeld ,Barehanded 
Hugh Blumenfeld ,The Strong in Spirit 
Hum,Downward is Heavenward 
Hum,Puppets 
Hum Machine,Last Action Rocker 
Hum Machine,Pay Victrola 
Huma,We are here for you
Human Chemistry ,Duck Duck Punch
Human Human,EP
"Human League, The",Tell Me When 
"Human League, The",Octopus 
"Human League, The",Romantic?
Human Television ,Human Telelvision 
"Humbugs, The ",Stereo Types 
"Humming, The",Hello Cannonball 
"Humpers, The",Plastique Valentine
"Humpers, The",Live Forever or Die Trying
"Hundred Days, The ",The Hundred Days 
"Hundred in the Hands, The",The Hundred in the Hands 
Hungry Kids of Hungary ,Mega Mountain 
Hungry Kids of Hungary ,Escapades 
Hunter S. Thompson,Fear And Loathing In Las Vegas
Hunters,Mom + Pop
Hunx and his Punx,Too Young To Be In Love
Hunx and his Punx,Hairdresser Blues 
Hurl Soul Bridge,Which is your way?
Hurricane,The Hurra Full Clean
"Hurricane Lamps, The",Tilting at Windmills
"Hurt Process, The",A Heartbeat Behind
"Hurt Process, The",Drive By Monologue
Hush Arbors,Hush Arbors 
"Hush Now, The",Constellations 
"Hush Now, The",The Hush Now
Husker Du,The Living End
Husky,Forever So
Husky Rescue,Country Falls
Hustle Boy Tony Trice,I Am Tony Trice
"Hutchinsons, The",Plastic Fruit & Popcorn
"Hutchinsons, The",Hutchinsons
Huxster,Huxster
"Huxtables, The",A Touch of Wonder
Hybrid,Remix and Additional Production By...
Hybrid,True to Form
Hybrid,Morning Sci-Fi
Hybrid,Wider Angle Special Edition
Hyentyte,Kin
Hypernova,Through the Chaos
Hypersluggabeds,Moodswingset
Hypnolovewheel,Peace of Mind
Hypnolovewheel,Altered States
Hypnote,Recording Concern
"Hypnotics, Thee",The Very Crystal Speed Machine
The High Llamas ,Gideon Gaye 
The Hot Water Music Band,Forever and Counting 
The Hourly Radio,History Will Never Hold Me 
The Houstons,Still 
